# run lumi evt seed tc cls df00 df01 df02 df03 df04 df05 df06 df07 df08 df09 df10 df11 df12 df13 df14 df15 df16 df17 df18 df19 df20 df21
1 46 4560 235 842 1 0.0228847 0.561166 0.000800347 0.001426 0.000103125 0.0806593 1.06623 3.44648 3.44648 -30 6 12 22.5051 0.111216 0.518918 3 1 0 0 1 1 1
1 46 4560 901 846 0 0.0297044 1.82759 0.00176656 0.00145975 54.9911 -0.0627806 12.6791 -2.75915 2.38409 5.06268 5 10 16.8255 0.134251 1.92304 2 24 0 0 0 2 24
1 46 4560 48 847 1 -0.0923136 1.77482 0.00192869 0.00174747 0.00583349 -0.0957032 0.0270765 -2.36918 1.90981 0.925141 5 10 19.1448 0.0800062 1.7918 3 1 0 0 1 1 6
1 46 4560 94 847 0 -0.0066726 1.77238 0.00225392 0.00161497 4.4097 0.0660732 10.5531 3.37604 3.37604 4.00884 5 10 19.1448 0.0800062 1.7918 3 4 0 0 0 1 6
1 46 4560 657 847 1 0.104927 1.89788 0.00158962 0.00121327 0.00276176 -0.0643322 5.12425 -2.52517 3.23167 3.74724 5 10 19.1448 0.0800062 1.7918 3 1 0 0 1 2 6
1 46 4560 184 854 1 0.218125 0.0314399 0.000267738 0.00101345 0.000376047 0.0519702 3.54893 1.41741 1.41741 2.25584 5 10 16.7022 0.142409 0.0411375 2 1 0 0 1 1 1
1 4 348 3804 1 2 0.0330819 1.80134 0.00155842 0.00140619 863.646 0.0622387 25.65 -1.46246 -1.46246 3.21302 7 14 42.2198 0.221875 1.83415 5 2 0 0 1 2 2
1 4 348 432 28 1 0.557025 0.127551 0.000257841 0.000525304 0.00106929 -0.0235389 1.95725 -0.61862 1.27634 3.58368 6 12 35.2627 -0.0759298 0.0887964 4 1 0 0 1 2 1
1 4 348 532 38 0 1.35616 1.0954 0.000922894 0.000123098 0.000382156 -0.00373392 3.46452 -1.67448 2.13347 -30 6 12 34.7622 1.25974 1.07957 4 1 0 0 1 4 4
1 4 348 543 38 0 1.26088 1.08191 0.000690202 0.000142088 0.0003816 -0.00446216 3.38215 3.17567 3.17567 -30 6 12 34.7622 1.25974 1.07957 4 1 0 0 1 5 4
1 4 348 575 38 0 -0.0495002 1.03503 0.00161772 0.00195 3.6936e-05 0.0929262 1.55679 -3.30968 2.66659 -30 6 12 34.7622 1.25974 1.07957 4 2 0 1 0 3 4
1 4 348 80 45 0 1.253 0.825566 0.00218217 0.000231248 0.0367506 -0.00218452 3.21345 0.252282 2.74819 -30 6 12 34.5494 1.10246 0.815476 4 1 0 0 1 8 2
1 4 348 84 45 2 1.30393 0.837718 0.0011585 0.000154287 0.0212998 -0.00475239 3.22575 -0.769523 1.77731 5.94588 6 12 34.5494 1.10246 0.815476 4 1 0 0 1 8 2
1 4 348 256 49 0 1.35372 0.866107 0.000953919 0.000131275 0.0437366 -0.0039468 2.99426 1.14574 1.14574 -30 6 12 34.2916 1.32097 0.868627 4 1 0 0 1 3 2
1 4 348 260 49 0 1.47838 0.880374 0.000849879 0.000116754 0.0451085 0.00277422 3.06838 -0.213228 2.96899 -30 6 12 34.2916 1.32097 0.868627 4 1 0 0 1 3 2
1 4 348 80 53 0 1.253 0.825566 0.00218217 0.000231248 0.0367506 -0.00218452 3.21345 -0.840042 2.74819 -30 6 12 34.0944 0.782793 0.884881 4 1 0 0 1 8 2
1 4 348 84 53 2 1.30393 0.837718 0.0011585 0.000154287 0.0212998 -0.00475239 3.22575 -1.55787 1.77731 5.94588 6 12 34.0944 0.782793 0.884881 4 1 0 0 1 8 2
1 4 348 80 57 0 1.253 0.825566 0.00218217 0.000231248 0.0367506 -0.00218452 3.21345 2.74819 2.74819 -30 6 12 33.6466 1.26238 0.829303 4 1 0 0 1 8 2
1 4 348 84 57 2 1.30393 0.837718 0.0011585 0.000154287 0.0212998 -0.00475239 3.22575 0.403371 1.77731 5.94588 6 12 33.6466 1.26238 0.829303 4 1 0 0 1 8 2
1 4 348 80 64 0 1.253 0.825566 0.00218217 0.000231248 0.0367506 -0.00218452 3.21345 0.92049 2.74819 -30 6 12 32.6171 1.2865 0.840451 4 1 0 0 1 8 2
1 4 348 84 64 2 1.30393 0.837718 0.0011585 0.000154287 0.0212998 -0.00475239 3.22575 1.77731 1.77731 5.94588 6 12 32.6171 1.2865 0.840451 4 1 0 0 1 8 2
1 4 348 0 65 0 -0.0146261 0.199567 0.000434831 0.00161606 0.449537 -0.085405 9.38284 -4.38935 6.7469 -30 6 12 32.3475 -0.0756947 0.0919189 4 1 0 0 1 1 1
1 4 348 80 67 0 1.253 0.825566 0.00218217 0.000231248 0.0367506 -0.00218452 3.21345 -0.158608 2.74819 -30 6 12 31.9382 0.812981 0.839767 4 1 0 0 1 8 2
1 4 348 84 67 2 1.30393 0.837718 0.0011585 0.000154287 0.0212998 -0.00475239 3.22575 -0.336573 1.77731 5.94588 6 12 31.9382 0.812981 0.839767 4 1 0 0 1 8 2
1 4 348 621 69 1 -0.0937493 0.394372 0.000707224 0.00174054 10.2832 -0.104628 12.7192 -1.23549 -1.23549 -0.149232 6 12 31.6645 -0.024068 0.365225 4 1 0 0 1 2 1
1 4 348 562 79 0 -0.0030858 0.810098 0.00123128 0.00170393 1.89031e-05 -0.0834651 2.1551 3.66392 3.66392 5.974 6 12 33.8196 -0.0270373 0.738602 4 1 0 0 1 1 1
1 4 348 174 114 1 -0.0524841 0.354712 0.000664358 0.00171675 0.000748981 0.0937353 0.615708 0.471545 0.707388 4.66491 6 12 30.4031 0.663021 0.324579 3 1 0 0 1 1 1
1 4 348 586 130 0 0.161325 0.651185 0.000725681 0.00107301 38.3363 -0.0592038 11.7491 -4.29028 6.64326 -30 6 12 30.0687 0.183802 0.603372 3 1 0 0 1 1 2
1 4 348 601 130 1 0.03376 0.584781 0.000897836 0.00146336 0.00010212 0.0774139 2.76804 -1.54864 0.653286 4.22385 6 12 30.0687 0.183802 0.603372 3 1 0 0 1 2 2
1 4 348 360 144 0 1.37915 1.2836 0.00619349 0.000190402 0.12227 -0.000842002 4.81333 -0.868501 3.7543 -30 6 12 29.8544 1.03701 1.22536 3 2 0 1 1 6 4
1 4 348 363 144 0 1.05796 1.22242 0.000595976 0.000154813 0.0862686 0.00788034 4.48054 3.13714 3.13714 -30 6 12 29.8544 1.03701 1.22536 3 1 0 0 1 7 4
1 4 348 374 144 1 0.695157 1.26416 0.000636078 0.000325116 0.129135 0.0167077 4.7368 -1.40007 0.638998 5.54787 6 12 29.8544 1.03701 1.22536 3 1 0 0 1 7 4
1 4 348 375 144 1 0.702982 1.29237 0.00302319 0.000366769 0.12949 0.00983878 4.85237 -0.21675 2.72542 -30 6 12 29.8544 1.03701 1.22536 3 1 0 0 1 4 4
1 4 348 29 150 0 -0.0236125 1.4257 0.0016235 0.00154802 0.000334528 0.0892309 0.697991 -0.571297 0.364137 1.63876 6 12 29.7709 0.233914 1.48853 3 1 0 0 1 2 1
1 4 348 1164 162 0 0.276848 1.77508 0.00134081 0.000890779 8.3916 -0.0425405 9.58778 0.446548 3.37879 4.72944 7 14 37.2683 -0.0423905 1.86548 4 3 0 1 0 2 3
1 4 348 119 163 1 -0.0575354 0.193811 0.000437365 0.00168259 0.000595128 -0.0980035 4.50592 -5.18009 -1.39143 5.81092 6 12 29.6191 0.715189 0.210334 3 1 0 0 1 1 1
1 4 348 621 170 1 -0.0937493 0.394372 0.000707224 0.00174054 10.2832 -0.104628 12.7192 -2.27661 -1.23549 -0.149232 6 12 29.4829 0.0264959 0.370191 3 1 0 0 1 2 1
1 4 348 455 194 1 -0.0972971 0.295065 0.000596674 0.00187669 0.000131256 0.1061 3.79922 -3.69697 -0.323424 3.85194 6 12 29.123 0.401815 0.266501 3 1 0 0 1 2 1
1 4 348 185 195 1 0.072886 0.155246 0.000339245 0.00133239 0.000317066 -0.0696039 8.80483 -2.69558 -1.04451 3.63375 6 12 29.1146 0.425792 0.0627676 3 1 0 0 1 3 1
1 4 348 354 204 1 0.820623 1.39174 0.000967228 0.000274723 0.104434 0.0109887 5.40701 -1.48065 -0.0490804 -30 6 12 33.4178 1.37378 1.28748 4 2 0 1 1 4 6
1 4 348 360 204 0 1.37915 1.2836 0.00619349 0.000190402 0.12227 -0.000842002 4.81333 3.7543 3.7543 -30 6 12 33.4178 1.37378 1.28748 4 2 0 1 1 6 6
1 4 348 363 204 0 1.05796 1.22242 0.000595976 0.000154813 0.0862686 0.00788034 4.48054 -1.49643 3.13714 -30 6 12 33.4178 1.37378 1.28748 4 1 0 0 1 7 6
1 4 348 374 204 1 0.695157 1.26416 0.000636078 0.000325116 0.129135 0.0167077 4.7368 -0.183856 0.638998 5.54787 6 12 33.4178 1.37378 1.28748 4 1 0 0 1 7 6
1 4 348 375 204 1 0.702982 1.29237 0.00302319 0.000366769 0.12949 0.00983878 4.85237 0.292235 2.72542 -30 6 12 33.4178 1.37378 1.28748 4 1 0 0 1 4 6
1 4 348 242 226 0 0.0279926 0.032695 0.00025794 0.00149734 0.000366304 0.0772045 9.24534 -4.26373 5.79286 -30 6 12 29.7318 0.0319939 0.0429183 3 1 0 0 1 1 1
